navrhujícístrana,politickápříslušnost,pořadízvolení/náhradníka,mandát,číslo,název,poř.číslo,"příjmení, jméno, tituly",věk,abs.,v %
1,Křesť.demokr.unie-Čs.str.lid.,42,Beneš Tomáš Ing.,46,KDU-ČSL,BEZPP,1 782,"1,86",38,-
5,TOP 09 a nezávislí,41,Berec Štefan Bc.,39,NK,BEZPP,1 039,"1,83",-,-
4,Komunistická str.Čech a Moravy,26,Bergerová Věra,62,KSČM,BEZPP,1 505,"2,20",24,-
9,JAUNER Československo 2018,18,Berky Tomáš,24,JAUNER,JAUNER,45,"2,29",-,-
9,JAUNER Československo 2018,41,Berousková Terezie,62,JAUNER,JAUNER,39,"1,98",-,-
8,ANO 2011,14,Binder Svatopluk Mgr. Ph.D.,40,ANO,ANO,7 855,"2,28",14,*
13,spOLečně,22,Bláha Jonáš,31,spOL,spOL,1 603,"2,09",19,-
5,TOP 09 a nezávislí,10,Blaťák Zdeněk Ing.,43,TOP 09,TOP 09,1 286,"2,27",-,-
13,spOLečně,23,Blažek Lukáš MgA. Ing. arch.,38,spOL,spOL,1 696,"2,21",20,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,45,Božková Jiřina,57,SPD,BEZPP,1 392,"1,93",42,-
1,Křesť.demokr.unie-Čs.str.lid.,15,Brabcová Jitka Ing. Ph.D.,57,KDU-ČSL,KDU-ČSL,2 092,"2,18",11,-
13,spOLečně,32,Bradáč Daniel,40,spOL,BEZPP,1 627,"2,12",29,-
9,JAUNER Československo 2018,9,Bradáč Miroslav,50,JAUNER,JAUNER,42,"2,14",-,-
8,ANO 2011,15,Brázdil Milan MUDr.,55,ANO,ANO,8 154,"2,36",1,-
7,"Svobodní, Soukr. a Volba OK",29,Bryjová Alice,65,VOLK,BEZPP,260,"1,96",-,-
16,Česká str.sociálně demokrat.,29,Břečková Jarmila Mgr.,66,ČSSD,ČSSD,1 389,"2,14",27,-
1,Křesť.demokr.unie-Čs.str.lid.,43,Bubeníček Ladislav,39,KDU-ČSL,BEZPP,1 769,"1,84",39,-
4,Komunistická str.Čech a Moravy,7,Buchlovská Barbora Ing. Bc.,34,KSČM,BEZPP,1 596,"2,33",5,-
1,Křesť.demokr.unie-Čs.str.lid.,38,Bureš Miroslav,55,KDU-ČSL,BEZPP,1 910,"1,99",34,-
11,ProOlomouc,30,Burian Jaroslav RNDr. Ph.D.,35,ProOl,BEZPP,3 416,"2,18",24,-
11,ProOlomouc,26,Burianová Zuzana MUDr.,54,ProOl,BEZPP,3 458,"2,21",20,-
5,TOP 09 a nezávislí,38,Buriánová Renata Bc.,48,TOP 09,TOP 09,1 088,"1,92",-,-
5,TOP 09 a nezávislí,29,Calábková Dana Ing.,48,TOP 09,TOP 09,1 227,"2,16",-,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,26,Caletková Pavla,67,SPOZ,BEZPP,1 567,"2,17",23,-
16,Česká str.sociálně demokrat.,23,Cingelová Gabriela Mgr. Ph.D.,45,ČSSD,ČSSD,1 415,"2,18",21,-
