obvod,číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
3,9,Česká str.sociálně demokrat.,6,Gajdůšek Miroslav Mgr.,37,ČSSD,ČSSD,1 160,"10,77",3,-
3,5,Strana zelených,7,Galík Petr,21,SZ,SZ,277,"10,39",-,-
2,8,Moravané,5,Gavorová Petra,36,M,BEZPP,45,"18,59",-,-
2,7,Křesť.demokr.unie-Čs.str.lid.,2,Giacintov Michal Ing.arch.,43,KDU-ČSL,BEZPP,486,"13,05",-,-
5,1,SPOLEČNĚ PRO OLOMOUC,6,Gőbel Marian Mgr.,61,NK,BEZPP,323,"10,03",-,-
3,7,SPOLEČNĚ PRO OLOMOUC,6,Gőrlichová Ilona,32,NK,BEZPP,208,"8,65",-,-
1,2,Křesť.demokr.unie-Čs.str.lid.,4,Goš Karel PhDr.,36,KDU-ČSL,KDU-ČSL,518,"11,34",3,-
4,1,Občanská demokratická strana,3,Gottwald Jan,49,ODS,ODS,1 918,"11,59",3,*
4,4,Komunistická str.Čech a Moravy,7,Grossová Jitka PhDr.,63,KSČM,KSČM,570,"10,96",6,-
5,2,Strana zelených,2,Grygová Bronislava PhDr. Ph.D.,47,SZ,BEZPP,544,"13,20",1,-
2,2,"Koalice SOS, SNK ED, Z",5,Haicl Martin Mgr.,40,"""Z""",BEZPP,240,"12,68",-,-
1,9,Občanská demokratická strana,2,Hanáková Marcela PhDr.,47,ODS,ODS,2 196,"11,76",2,*
3,3,Občanská demokratická strana,2,Hándl Jan Mgr.,57,ODS,ODS,1 748,"11,91",2,*
5,6,Komunistická str.Čech a Moravy,8,Hanusová Jana,65,KSČM,KSČM,550,"10,30",7,-
2,7,Křesť.demokr.unie-Čs.str.lid.,5,Havran Zdislav Mgr.,57,KDU-ČSL,KDU-ČSL,367,"9,85",-,-
