číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
8,Občanská demokratická strana,5,Hejtmánek Pavel MUDr.,44,ODS,ODS,2 840,"2,41",4,-
6,ProOlomouc,4,Helcel David Ing. arch.,47,ProOl,ProOl,2 038,"4,19",2,-
4,Patrioti PRO Olomouc,45,Herciková Jarmila,38,NK,BEZPP,207,"1,54",-,-
2,Strana svobodných občanů,38,Hilšerová Hana,58,Svobodní,BEZPP,465,"1,95",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",33,Hlavatý Petr,56,SPR-RSČMS,SPR-RSČMS,83,"2,13",-,-
6,ProOlomouc,28,Hlavsa Jan,33,ProOl,BEZPP,1 345,"2,77",26,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",26,Hlivková Pavlína,46,SPR-RSČMS,BEZPP,79,"2,03",-,-
5,Česká str.sociálně demokrat.,23,Hofírek Pavel Mgr.,32,ČSSD,ČSSD,4 446,"2,23",13,-
5,Česká str.sociálně demokrat.,21,Holánek Petr JUDr. Mgr. Bc. Ph.D.,53,ČSSD,ČSSD,4 506,"2,26",11,-
5,Česká str.sociálně demokrat.,19,Holásek Radan Ing.,28,ČSSD,ČSSD,4 410,"2,21",9,-
8,Občanská demokratická strana,32,Holečková Monika Ing.,48,ODS,ODS,2 492,"2,11",27,-
11,Občané pro Olomouc,30,Holík Václav,30,Piráti,BEZPP,1 607,"2,06",27,-
11,Občané pro Olomouc,19,Holík Vlastimil,30,Piráti,Piráti,1 629,"2,08",16,-
8,Občanská demokratická strana,2,Holpuch Jan RNDr. Ph.D.,42,ODS,ODS,3 367,"2,86",3,*
2,Strana svobodných občanů,35,Holub Tomáš,30,Svobodní,BEZPP,491,"2,06",-,-
9,Koruna Česká (monarch.strana),7,Holzer Miloš RNDr.,63,KČ,BEZPP,261,"5,96",-,-
7,TOP 09,30,Horáček Evžen Ing.,55,TOP 09,BEZPP,2 100,"2,13",26,-
1,Křesť.demokr.unie-Čs.str.lid.,26,Horák Petr Mgr.,67,KDU-ČSL,KDU-ČSL,2 252,"2,12",21,-
2,Strana svobodných občanů,8,Horák Viktor Bc.,38,Svobodní,Svobodní,576,"2,42",-,-
2,Strana svobodných občanů,11,Hošek Radovan Ing.,45,Svobodní,BEZPP,621,"2,61",-,-
11,Občané pro Olomouc,7,Hrabal Jiří Mgr. Ph.D.,40,Zelení,BEZPP,2 102,"2,69",3,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",22,Hrabský Martin,44,SPR-RSČMS,SPR-RSČMS,84,"2,16",-,-
2,Strana svobodných občanů,42,Hrachovinová Daniela,48,Svobodní,BEZPP,436,"1,83",-,-
12,Komunistická str.Čech a Moravy,19,Hrbáček Petr Ing.,65,KSČM,KSČM,2 110,"2,23",15,-
12,Komunistická str.Čech a Moravy,44,Hrbáčková Zdeňka,70,KSČM,KSČM,1 886,"1,99",40,-
8,Občanská demokratická strana,25,Hroch Petr Mgr.,44,ODS,BEZPP,2 642,"2,24",20,-
13,ANO 2011,26,Hrstková Monika Ing.,28,ANO,ANO,5 601,"2,24",14,-
6,ProOlomouc,24,Hrubanová Věra MUDr.,55,ProOl,BEZPP,1 429,"2,94",22,-
2,Strana svobodných občanů,5,Hruška Pavel Mgr.,38,Svobodní,Svobodní,663,"2,79",-,-
2,Strana svobodných občanů,3,Hrušková Břeňová Pavla Mgr.,35,Svobodní,Svobodní,763,"3,21",-,-
7,TOP 09,28,Hudeček Jiří Mgr.,66,TOP 09,BEZPP,2 057,"2,08",24,-
4,Patrioti PRO Olomouc,12,Hulman Dušan,50,NK,BEZPP,300,"2,24",-,-
5,Česká str.sociálně demokrat.,16,Hušek Václav Mgr.,70,ČSSD,ČSSD,4 411,"2,21",6,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",36,Hynek František,61,SPR-RSČMS,BEZPP,70,"1,80",-,-
6,ProOlomouc,12,Chalupa Tomáš Mgr.,34,ProOl,BEZPP,1 630,"3,35",10,-
9,Koruna Česká (monarch.strana),19,Chladnuch Jan,71,KČ,BEZPP,119,"2,71",-,-
11,Občané pro Olomouc,28,Chmel Petr,35,Piráti,Piráti,1 632,"2,09",25,-
10,Strana Práv Občanů,17,Chodilová Miluše,38,SPO,BEZPP,148,"2,72",-,-
8,Občanská demokratická strana,40,Chochola Martin,42,ODS,ODS,2 256,"1,91",35,-
